source,chunk
rc-website-fork/content/thank-you.md,"Thank you for contacting UVA's Research Computing group (RC). We will make every effort to respond to your request within 1 business day (9am5pm EST, MF, excluding holidays). System status updates are available on www.rc.virginia.edu."
rc-website-fork/content/resources.md,Hello Allocations Review and manage your HPC allocations on Rivanna. Name Type SUs Remain % Remain S = Standard P = Purchased I = Instructional D = DeanAllocation counts are refreshed 1x per day. Request Allocations Storage Review and manage your Research Project or Research Standard storage shares. Group Name Type Capacity P = Project V = ValueStorage quotas are refreshed 1x per day. Request Storage Container Services Review and manage your microservices. Service Image Count Container inventories are refreshed 1x per day. Request Microservices Databases Review and manage your databases. Database Type Host Database inventories are refreshed 1x per day. Request a Database
rc-website-fork/content/name-contest.md,Hello Allocations Review and manage your HPC allocations on Rivanna. Request Allocations
rc-website-fork/content/support.md,"{{< formcookies }} Request Help Open a support ticket with your specific questions or issues. Open a Support Ticket Allocations Request, purchase, or modify your Afton/Rivanna HPC allocations. Request Allocations Storage Manage your shared Research Project or Research Standard storage volumes. Request Storage Ivy Projects Perform your research on a HIPAAcompliant computing platform. Set up a Project ACCORD Request information or support for an ACCORD project. Learn more. ACCORD Support Container Services Run your containerbased service in our Kubernetes cluster. Learn more. Request a Microservice User Guides Learn about systems, storage, data transfer, image analysis or tools. Read the User Guides FAQ / Knowledgebase Search topics or post your own related to research computing. Have a Question? Pricing Read more about pricing for SUs, Ivy virtual machines, storage, and more. Learn More Office Hours Research Computing staff host weekly office hours. Tell us about a project idea or talk to us about our high performance computing platforms, storage and services. We're here to help you solve your computational problems. Examples of the type of support we can provide are: Data Transfer/Access Parallel Coding in Fortran, C, Python, R, Matlab, Mathematica Bioinformatics Computational Chemistry Software Installation and Containers Image Processing Writing Slurm Job Scripts Maximizing Job Efficiency Managing Computational Workflows We offer office hours as online Zoom sessions twice a week. No appointments required. Tuesdays 3:005:00pm Join us via Zoom Thursdays 10:0012:00pm Join us via Zoom New to HighPerformance Computing? We offer orientation sessions to introduce you to the Afton & Rivanna HPC systems on Wednesdays (appointment required). Wednesdays 3:004:00pm Sign up for an ""Intro to HPC"" session"
rc-website-fork/content/signup.md,"Keep up to date with our latest news, updates, workshops and service announcements. indicates required Email Address First Name Last Name"
rc-website-fork/content/form/storage.md,"{{% jiramsg %}} {{< formcookies }} {{< enabledisableform }} {{% getstatus keyword=""jira"" %}} {{% formuserinfov2 %}} Type of Request Create new storage share Increase size of existing share Decrease size of existing share Retire existing share Space (TB) The size of storage to be created/retired, or the amount of the increase/decrease to your storage. Specify in 1TB increments. Storage Platform Research Project Storage ({{< extractstoragecost type=""project"" }}) Research Standard Storage ({{< extractstoragecost type=""standard"" }}) HighSecurity Research Standard Storage ({{< extractstoragecost type=""hsz standard"" }}) None of these storage options offer data backups or replication. Research Project storage provides week long snapshots of data. Snapshots are not available on Research Standard storage Billing information is required. However, if you are within the 10TB of free Research Standard Storage, no charges will apply. Internal Use / Public DataThis storage platform is appropriate for public or internal use data. Sensitive / Highly Sensitive DataThis storage platform is appropriate for highly sensitive data such as HIPAA, FERPA, CUI, etc. Grouper/MyGroups Ownership Grouper or MyGroups group name under your Eservices user ID. You will have access to Grouper management and will be able to add/remove users for your project. Legacy MyGroups groups created before November 28th, 2023, can be accessed through the “Legacy MyGroups” folder on Grouper. Shared Space Name This is the name to be applied to your shared storage space. By default, the space will be named according to the Grouper/MyGroups group associated with the storage request. If you would prefer a different identifier, indicate the name for the space. {{% groupcreationtip %}} Project Title {{% billingfdm %}} Data Agreement The owner of these services assumes all responsibility for complying with state, federal, and international data retention laws. Researchers may be required to keep data securely stored for years after a project has ended"
rc-website-fork/content/form/storage.md,"and should plan accordingly. University of Virginia researchers are strongly encouraged to use the University Records Management Application (URMA), a webbased tool that automatically tracks when data can be safely transferred or destroyed. I understand Please submit the form only once. If you receive an error message after submitting this request, please check your email to confirm that the submission completed. Submit {{< /enabledisableform }}"
rc-website-fork/content/form/support-request-orig.md,"{{% formuserinfo %}} Department/Organization Academic Discipline Select Astronomy Biochemistry Bioinformatics Biology Chemistry Commerce Computer Science Data Science Economics Environmental Science Engineering Health Sciences Informatics Physics Social Sciences Other Other Academic Discipline Support Category Select General research computing question HPC (Afton & Rivanna) Ivy Secure Computing Storage Omero Image Analysis Containerized Service Consultation request CHASE Accounts/Data Sentinel System/Software Other Use this form for general HPC support questions. Or submit an Allocation Request. Use this form for storage questions. Or submit a storage request. Use this form for general Omero questions. Or request Omero access. Use this form for general queries about containerized services. Or request a container service. Use this form for general Ivy questions. Or submit an Ivy Project Request. Brief description of your request Details of your request Please submit the form only once. If you receive an error message after submitting this request, please check your email to confirm that the submission completed. Submit"
rc-website-fork/content/form/skyline.md,"{{% jiramsg %}} {{< formcookies }} {{< enabledisableform }} Skyline Virtual Machines (VMs) are designated for computation that involves public and moderatelysensitive data. Processing of highly sensitive data is not permitted. Learn about our Ivy environment for processing and storage of highly sensitive data that have HIPAA, ITAR, or CUI requirements. {{% getstatus keyword=""jira"" %}} {{% formuserinfo %}} Classification Select FacultyStaffPostdoctoral AssociateOther Affiliation Select College of Arts & Sciences School of Data Science School of Engineering and Applied Sciences School of Medicine Darden School of Business UVA Health System Other Name of MyGroups Account (lowercase only, no spaces). This group is used to define all members with access to the requested VM. You can use an existing group or set up a new MyGroup. Project Summary Please describe your project and the software you intend to use on your Skyline VM. VM Configuration 2 cpu cores / 2GB memory ($4/month) 4 cpu cores / 16GB memory ($12/month) 8 cpu cores / 32GB memory ($48/month) 16 cpu cores / 64GB memory ($96/month) 16 cpu cores / 124GB memory ($176/month) Operating System CentOS 7.8: Unlimited number of concurrent user logins. Billing Tiers are selected and paid for by the PI. Submit this form again if you wish to change your VM configuration. PTAO Financial Contact Please enter the name and email address of your financial contact. Data Agreement The owner of these services assumes all responsibility for complying with state, federal, and international data retention laws. Researchers may be required to keep data securely stored for years after a project has ended and should plan accordingly. University of Virginia researchers are strongly encouraged to use the University Records Management Application (URMA), a webbased tool that automatically tracks when data can be safely transferred or destroyed. I understand Please submit the form only"
rc-website-fork/content/form/skyline.md,"once. If you receive an error message after submitting this request, please check your email to confirm that the submission completed. Submit {{< /enabledisableform }}"
